newid,CPUUtilization_Average,NetworkIn_Average,NetworkOut_Average,MemoryUtilization_Average,Final_Target
12753,40,198073443,178504902,46.41992094,41.49712144
12754,36,289941412,257867393,42.37839064,37.37079152
12755,43,330431410,298384369,53.63731124,46.1827737
12756,39,178365561,159362644,46.7969629,41.05572045
12757,53,221214765,192587028,44.84832512,46.83147343
12758,45,292360854,271321143,42.81365009,42.04804176
12759,36,218898645,205382459,35.42945857,34.24165017
12760,53,367061449,345426579,58.83127658,53.63171056
12761,46,367727342,338098428,58.74275044,50.03485971
12762,47,285585238,265830263,43.45727201,43.36041029
12763,52,305175972,286147607,53.94853241,50.46032374
12764,52,249317500,240830547,55.01319946,50.93433607
12765,90,340946681,316375056,73.09721842,77.67487769
12766,58,249281400,226603744,46.12141756,49.79810917
12767,28,168838545,174113643,25.7580693,25.88494373
12768,36,181566141,182351999,24.60732913,29.01665572
12769,44,236865901,223029467,35.392519,37.99978128
12770,40,224846292,206140357,51.49871499,43.79601467
12771,40,206856007,195281011,68.19372864,51.5801376
12772,65,203906307,188481411,74.73346829,66.63659262
12773,50,234876514,215413770,67.43391902,55.98475634
12774,44,306636594,310255303,53.85621939,46.95041472
12775,26,225238862,233987987,39.86842646,31.59099918
12776,20,188036342,192278485,39.33077477,28.37794001
12777,25,198295857,200881168,40.1340995,31.17877463
12778,40,236528122,233829623,37.95458723,37.39394155
12779,56,291198950,273609539,73.52750692,61.96213119
12780,58,363814571,331309086,69.78688717,60.94022061
12781,48,362154288,328179485,57.36792079,50.40855003
12782,51,287932137,271572576,51.71822832,49.28642772
12783,59,275570313,265170251,52.43210354,53.18179489
12784,57,298504160,290612998,49.95888447,50.86879986
12785,50,267352760,254998240,31.06541885,38.64605202
12786,38,232526400,218933714,19.69820724,27.5212633
12787,44,149404908,143997464,48.68675998,44.23404262
12788,60,237957694,215752432,62.65439167,58.56734531
12789,66,343142321,307822998,45.56223398,53.4448614
12790,53,295428453,271934816,44.45464389,46.62167932
12791,53,302855249,277314962,53.78413554,50.89587032
12792,55,388746190,361651560,36.44552824,43.57296515
12793,57,380435124,350877670,28.12067496,40.48216777
12794,43,278700947,259037433,44.48804759,41.97571718
12795,56,304961190,276986558,67.73015183,59.0185607
12796,54,255466172,243342625,55.30115401,52.32185459
12797,45,213243679,205564771,60.23421098,50.07331154
12798,72,306056743,285349707,57.043768,61.7377866
12799,67,265358076,240938641,53.77241426,57.43834863
12800,60,323771589,298644516,57.19103114,56.049796
12801,51,356813632,336498594,47.92466524,47.11326176
12802,35,281952461,261360012,24.99772735,28.99413804
12803,40,255753328,224943468,46.00692647,41.09422567
12804,38,265226977,226927847,33.40460163,34.27686179
12805,47,278089728,254244378,36.08999553,39.72930741
12806,54,322151539,314190403,45.29030939,47.54782118
12807,57,276030476,255860048,51.80792299,52.0348515
12808,55,197581398,179823484,36.62032107,43.48110501
12809,43,186215401,173729210,38.27932309,38.98717945
12810,37,243405001,225290466,42.35014875,37.99668502
12811,54,221480567,204827571,62.82352955,55.74721975
12812,37,186257346,170909757,30.28580595,32.07175109
12813,31,169947090,155932712,19.50508812,24.43841871
12814,35,219669207,202026522,36.21082621,34.14832501
